Index,Velocity_Profile,Velocity_Accel,Velocity_Brake,Velocity_Corner
0,32.16,32.16,32.16,32.16
1,32.16,32.16,32.16,32.16
2,32.16,32.16,32.16,32.16
3,32.16,32.16,32.16,32.16
4,32.16,32.16,32.16,32.16
5,28.4638,32.16,32.16,28.4638
6,28.0367,32.16,32.16,28.0367
7,22.9762,32.16,32.16,22.9762
8,17.9519,32.16,32.16,17.9519
9,16.0266,32.16,32.16,16.0266
10,14.7814,32.16,32.16,14.7814
11,13.6463,32.16,32.16,13.6463
12,13.3415,32.16,32.16,13.3415
13,14.2539,32.16,32.16,14.2539
14,15.3521,32.16,32.16,15.3521
15,15.7495,32.16,32.16,15.7495
16,17.7988,32.16,32.16,17.7988
17,20.4661,32.16,32.16,20.4661
18,21.8488,32.16,32.16,21.8488
19,20.5703,32.16,32.16,20.5703
20,20.7712,32.16,32.16,20.7712
21,18.7973,32.16,32.16,18.7973
22,17.3652,32.16,32.16,17.3652
23,16.733,32.16,32.16,16.733
24,17.1265,32.16,32.16,17.1265
25,19.0498,32.16,32.16,19.0498
26,16.4423,32.16,32.16,16.4423
27,14.9249,32.16,32.16,14.9249
28,13.5717,32.16,32.16,13.5717
29,12.3347,32.16,32.16,12.3347
30,11.4445,32.16,32.16,11.4445
31,11.4643,32.16,32.16,11.4643
32,11.3627,32.16,32.16,11.3627
33,12.2714,32.16,32.16,12.2714
34,11.8126,32.16,32.16,11.8126
35,11.4974,32.16,32.16,11.4974
36,11.8452,32.16,32.16,11.8452
37,10.9737,32.16,32.16,10.9737
38,10.6367,32.16,32.16,10.6367
39,11.079,32.16,32.16,11.079
40,11.3567,32.16,32.16,11.3567
41,11.1515,32.16,32.16,11.1515
42,12.9994,32.16,32.16,12.9994
43,12.9171,32.16,32.16,12.9171
44,12.9938,32.16,32.16,12.9938
45,12.3301,32.16,32.16,12.3301
46,13.3195,32.16,32.16,13.3195
47,13.0137,32.16,32.16,13.0137
48,13.5761,32.16,32.16,13.5761
49,13.3147,32.16,32.16,13.3147
50,14.9698,32.16,32.16,14.9698
51,13.5543,32.16,32.16,13.5543
52,13.462,32.16,32.16,13.462
53,13.2628,32.16,32.16,13.2628
54,11.035,32.16,32.16,11.035
55,9.74511,32.16,32.16,9.74511
56,10.5691,32.16,32.16,10.5691
57,11.1708,32.16,32.16,11.1708
58,11.8217,32.16,32.16,11.8217
59,17.2821,32.16,32.16,17.2821
60,32.16,32.16,32.16,32.16
61,32.16,32.16,32.16,32.16
62,32.16,32.16,32.16,32.16
63,21.2611,32.16,32.16,21.2611
64,16.3518,32.16,32.16,16.3518
65,13.9297,32.16,32.16,13.9297
66,13.6743,32.16,32.16,13.6743
67,12.7671,32.16,32.16,12.7671
68,12.5532,32.16,32.16,12.5532
69,13.3095,32.16,32.16,13.3095
70,15.1897,32.16,32.16,15.1897
71,15.5082,32.16,32.16,15.5082
72,17.8876,32.16,32.16,17.8876
73,24.3652,32.16,32.16,24.3652
74,29.2861,32.16,32.16,29.2861
75,27.2715,32.16,32.16,27.2715
76,19.7037,32.16,32.16,19.7037
77,18.8583,32.16,32.16,18.8583
78,17.5992,32.16,32.16,17.5992
79,18.0982,32.16,32.16,18.0982
80,18.3841,32.16,32.16,18.3841
81,18.8571,32.16,32.16,18.8571
82,14.2175,32.16,32.16,14.2175
83,13.2782,32.16,32.16,13.2782
84,12.9754,32.16,32.16,12.9754
85,12.7389,32.16,32.16,12.7389
86,13.3277,32.16,32.16,13.3277
87,17.4428,32.16,32.16,17.4428
88,21.9708,32.16,32.16,21.9708
89,18.5268,32.16,32.16,18.5268
90,16.8148,32.16,32.16,16.8148
91,18.5299,32.16,32.16,18.5299
92,19.1142,32.16,32.16,19.1142
93,18.8906,32.16,32.16,18.8906
94,25.9016,32.16,32.16,25.9016
95,32.16,32.16,32.16,32.16
96,32.16,32.16,32.16,32.16
97,32.16,32.16,32.16,32.16
